,Name,Youtube,Facebook,Twitter,Profile
0,Imran Riaz Khan,https://www.youtube.com/channel/UCaszgR2TH3qNw_CxLHAd2SQ,https://web.facebook.com/ImranRiazKhan2?_rdc=1&_rdr,https://twitter.com/ImranRiazKhan,ImranRiazKhan
1,Sabir Shakir,https://www.youtube.com/c/SabirShakir,https://web.facebook.com/SabirShakirARY/?_rdc=1&_rdr,https://twitter.com/ARYSabirShakir,SabirShakir
2,Mubasher Lucman,https://www.youtube.com/c/MubasherLucmanOfficial,https://web.facebook.com/IamMubasherLucman/?_rdc=1&_rdr,https://twitter.com/mubasherlucman,MubasherLucman
3,Sami Ibrahim,https://www.youtube.com/c/SamiAbrahamYT,https://web.facebook.com/SamiAbrahamOfficial,https://twitter.com/samiabrahim,SamiIbrahim
4,Makhdoom Shahab Uddin,https://www.youtube.com/c/MakhdoomShahabudDin1,https://web.facebook.com/JoinShahab,https://twitter.com/ShahabSpeaks,MakhdoomShahabUddin
5,Nasim Zehra,https://www.youtube.com/c/NasimZehraOfficial,https://web.facebook.com/nasim.zehra.31,https://twitter.com/nasimzehra,NasimZehra
6,Faiq Siddiqi Show,https://www.youtube.com/c/FaiqSiddiqiShow,https://web.facebook.com/faiqsiddiqiNY,https://twitter.com/siddiqifaiq,FaiqSiddiqi
7,Asad Ali Toor Uncensored,https://www.youtube.com/channel/UCXORDenrw6IHFUvg0PH-3hg,https://web.facebook.com/asad.a.toor,https://twitter.com/AsadAToor,AsadAliToor
8,Usama Ghazi,https://www.youtube.com/c/UsamaGhazi,https://web.facebook.com/usamaghazii,https://twitter.com/ghaziusama,UsamaGhazi
9,Waqar Malik,https://www.youtube.com/c/WaqarMaliks,https://web.facebook.com/WaqarMaliks,https://twitter.com/RealWaqarMaliks,WaqarMalik
10,Syed Talat Hussain,https://web.facebook.com/syedtalathussain.official,https://web.facebook.com/syedtalathussain.official,https://twitter.com/TalatHussain12,SyedTalatHussain
11,Mansoor Ali Khan,https://www.youtube.com/c/MansoorAliKhanLive,https://web.facebook.com/syedtalathussain.official,https://twitter.com/_mansoor_ali,MansoorAliKhan
12,Mati ullah Jaan TV,https://www.youtube.com/c/MatiullahJanMJtv,https://web.facebook.com/matiullah.jan.73,https://twitter.com/Matiullahjan919,MatiullahJaan
13,Aniq Naqi Official,https://www.youtube.com/c/AniqNajiOfficial,#,#,AniqNaqi
14,Lt. Gen. Amjad Shuaib,https://www.youtube.com/c/DDPAnalytica,https://web.facebook.com/LtGenAmjadShoaib,https://twitter.com/genamjadshuaib1,Lt.Gen.AmjadShuaib
15,Siddique Jaan,https://www.youtube.com/c/SiddiqueJaan1,https://web.facebook.com/SdqJan,https://twitter.com/SdqJaan,SiddiqueJaan
16,Saleem Safi,https://www.youtube.com/c/SaleemSafiOfficial,https://web.facebook.com/saleem.safi.official,https://twitter.com/SaleemKhanSafi,SaleemSafi
17,Orya Maqbool Jan,https://www.youtube.com/c/OryaMaqboolJan,https://web.facebook.com/OryaMJ/?_rdc=1&_rdr,https://twitter.com/OryaMaqboolJan,OryaMaqboolJan
18,Rauf Klasra,https://www.youtube.com/c/raufklasra,https://web.facebook.com/raufklasra1,https://twitter.com/KlasraRauf,RaufKlasra
19,Javed Chaudhry,https://www.youtube.com/c/JavedChaudhryofficial,https://web.facebook.com/javed.chaudhry,https://twitter.com/javedchofficial,JavedChaudhry
20,Tellings with Imran Shafqat,https://www.youtube.com/c/TellingswithImranShafqat,https://web.facebook.com/syed.i.shafqat,https://twitter.com/simranshafqat,ImranShafqat
21,Amjad Ayub Mirza,https://www.youtube.com/channel/UCqtsBSn_G879Rr6KAiep4Wg,https://web.facebook.com/people/Dr-Amjad-Ayub-Mirza/100066537831835,https://twitter.com/amjad2010,AmjadAyubMirza
22,Essa Naqvi,https://www.youtube.com/c/EssaNaqvi,https://web.facebook.com/EssaNaqvi1,https://twitter.com/essa1,EssaNaqvi
23,Adeel Warraich,https://www.youtube.com/c/NewsViewswithWarraich,#,https://twitter.com/adeeljavedch,AdeelWarraich
24,Rashid Murad (RM TV LONDON),https://www.youtube.com/c/RMTVLONDON,https://web.facebook.com/poetrashidmurad,https://twitter.com/RashidMurad,RashidMurad
25,Rizwan Razi,https://www.youtube.com/c/RMTVLONDON,https://web.facebook.com/Rizwan540,https://twitter.com/RashidMurad,RizwanRazi
26,Soldier Speaks (Adil Farooq Raja),https://www.youtube.com/c/SoldierSpeaks,https://web.facebook.com/adil.farooq.raja,https://twitter.com/rajaadilfarooq1,AdilFarooqRaja
